"filename", "language", "C#", "comment", "blank", "total"
"c:\Users\joshu\UntitledScrollGame\Assets\Scripts\Book\BookInfo.cs", "C#", -26, 0, -3, -29
"c:\Users\joshu\UntitledScrollGame\Assets\Scripts\Book\BookPage.cs", "C#", -6, 0, -3, -9
"c:\Users\joshu\UntitledScrollGame\Assets\Scripts\Book\BookTabButton.cs", "C#", -37, 0, -1, -38
"c:\Users\joshu\UntitledScrollGame\Assets\Scripts\Book\IndexPageBookController.cs", "C#", -10, 0, -2, -12
"c:\Users\joshu\UntitledScrollGame\Assets\Scripts\Book\IndexPageBookPage.cs", "C#", -20, 0, -6, -26
"c:\Users\joshu\UntitledScrollGame\Assets\Scripts\Book\QuickRefBookController.cs", "C#", -11, 0, 0, -11
"c:\Users\joshu\UntitledScrollGame\Assets\Scripts\Book\QuickRefBookPage.cs", "C#", -42, 0, -9, -51
"c:\Users\joshu\UntitledScrollGame\Assets\Scripts\Book\SettingsBookPage.cs", "C#", -10, 0, -1, -11
"c:\Users\joshu\UntitledScrollGame\Assets\Scripts\Book\SettingsPageController.cs", "C#", -26, 0, -3, -29
"c:\Users\joshu\UntitledScrollGame\Assets\Scripts\Book\TextPageBookController.cs", "C#", -9, 0, 0, -9
"c:\Users\joshu\UntitledScrollGame\Assets\Scripts\Book\TextPageBookPage.cs", "C#", -19, 0, -6, -25
"c:\Users\joshu\UntitledScrollGame\Assets\Scripts\Effects\CameraController.cs", "C#", -43, -1, -10, -54
"c:\Users\joshu\UntitledScrollGame\Assets\Scripts\Effects\PoofController.cs", "C#", -19, -2, -6, -27
"c:\Users\joshu\UntitledScrollGame\Assets\Scripts\Effects\PoofParticle.cs", "C#", -30, -2, -7, -39
"c:\Users\joshu\UntitledScrollGame\Assets\Scripts\Effects\SavingText.cs", "C#", -41, -1, -3, -45
"c:\Users\joshu\UntitledScrollGame\Assets\Scripts\Main\CursorController.cs", "C#", -42, 0, -7, -49
"c:\Users\joshu\UntitledScrollGame\Assets\Scripts\Main\Desk\BookClickable.cs", "C#", -10, 0, -6, -16
"c:\Users\joshu\UntitledScrollGame\Assets\Scripts\Main\Desk\DeskObject.cs", "C#", -74, -1, -12, -87
"c:\Users\joshu\UntitledScrollGame\Assets\Scripts\Main\Desk\ScrollClickable.cs", "C#", -86, -3, -10, -99
"c:\Users\joshu\UntitledScrollGame\Assets\Scripts\Main\Desk\TableLightClickable.cs", "C#", -24, -2, -3, -29
"c:\Users\joshu\UntitledScrollGame\Assets\Scripts\Main\Desk\ToolController.cs", "C#", -46, -5, -6, -57
"c:\Users\joshu\UntitledScrollGame\Assets\Scripts\Main\GameController.cs", "C#", -123, -2, -12, -137
"c:\Users\joshu\UntitledScrollGame\Assets\Scripts\Main\MusicPlayer.cs", "C#", -34, -2, -6, -42
"c:\Users\joshu\UntitledScrollGame\Assets\Scripts\Main\Popups\BookController.cs", "C#", -118, -2, -10, -130
"c:\Users\joshu\UntitledScrollGame\Assets\Scripts\Main\Popups\ScrollController.cs", "C#", -31, -4, -4, -39
"c:\Users\joshu\UntitledScrollGame\Assets\Scripts\Main\Popups\StampPaperController.cs", "C#", -81, 0, -12, -93
"c:\Users\joshu\UntitledScrollGame\Assets\Scripts\Main\Popups\WindowController.cs", "C#", -51, -4, -10, -65
"c:\Users\joshu\UntitledScrollGame\Assets\Scripts\ScrollWriting\Glyph.cs", "C#", -158, -11, -12, -181
"c:\Users\joshu\UntitledScrollGame\Assets\Scripts\ScrollWriting\GlyphEnums.cs", "C#", -70, -4, -7, -81
"c:\Users\joshu\UntitledScrollGame\Assets\Scripts\ScrollWriting\GlyphGenerator.cs", "C#", -30, 0, -6, -36
"c:\Users\joshu\UntitledScrollGame\Assets\Scripts\ScrollWriting\InkController.cs", "C#", -393, -24, -87, -504
"c:\Users\joshu\UntitledScrollGame\Assets\Scripts\ScrollWriting\PixController.cs", "C#", -34, 0, -7, -41
"c:\Users\joshu\UntitledScrollGame\Assets\Scripts\ScrollWriting\PixController2.cs", "C#", -21, 0, -8, -29
"c:\Users\joshu\UntitledScrollGame\Assets\Scripts\ScrollWriting\Spell.cs", "C#", -56, 0, -6, -62
"c:\Users\joshu\UntitledScrollGame\Assets\Scripts\ScrollWriting\StampPreviewController.cs", "C#", -38, -1, -2, -41
